"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"MSTRG.5355.11" 225.743650432633 -0.18895542295848 0.4680328481102 -0.403722567169025 0.686416742746989 0.999930590228741
"MSTRG.5355.10" 2.50768659650535 -1.53479647168693 2.94490801631997 -0.521169579213158 0.602248643920051 0.999930590228741
"MSTRG.5355.13" 376.363125075091 0.0899774490872734 0.745970028733633 0.120618048475781 0.903993572602731 0.999930590228741
"MSTRG.5355.12" 226.462577985924 0.450241284235494 0.330273635191062 1.36323713509567 0.172807787268555 0.799916326217601
"MSTRG.5355.15" 251.779829998517 0.649730008694722 1.32595196525019 0.490010215846792 0.624126669866935 0.999930590228741
"MSTRG.5355.14" 378.651844193199 0.225115973298894 0.954929060703627 0.235741043562985 0.813633619154316 0.999930590228741
"NM_001003806" 9.18115275108065 -0.899486608333135 0.933918034436445 -0.96313228266966 0.335481142889036 0.943920260551942
"MSTRG.5355.16" 72.0144470012021 -1.34383267071358 2.20080694283809 -0.610609065500592 0.541458419660951 0.999930590228741
"NM_006737_9" 1.92816514193703 -0.159861538408401 0.540507705906861 -0.295761811832425 0.767411988633377 0.999930590228741
"NM_025260_6" 0.696389667252969 -0.755350954625846 1.28998480118666 -0.58555027464742 0.558177772388259 NA
"NM_001003809" 3.69491115122233 -5.13915695793148 2.96863042712544 -1.73115417499368 0.0834242700487068 0.637913045698029
"NM_001304464" 159.434466111126 0.110515334576072 0.290424613061158 0.38053019477657 0.703551887118 0.999930590228741
"NM_001304465" 185.183852848249 -0.376546944942824 0.515831947591632 -0.729979883372647 0.465402481077514 0.993260949276678
"NM_001304466" 996.214143661863 0.0535138978398128 0.211208633681512 0.25336984055542 0.799982431186001 0.999930590228741
"NM_001304467" 122.866746850535 0.150682225168258 0.394799425625017 0.38166779227125 0.702707792802485 0.999930590228741
"NM_001304460" 0 NA NA NA NA NA
"NM_001008781" 0 NA NA NA NA NA
"NM_001304462" 50.9015391298562 -0.661032324643852 0.917062837090685 -0.720814646399727 0.471023562842891 0.994419679868744
"NM_001008783" 1.41708638076682 -0.549469256086227 1.13265476004025 -0.485116273264683 0.627593869203894 0.999930590228741
"NM_001003802" 0.0268505358733628 -0.105530470762386 2.99792252956716 -0.0352012000715785 0.971919305306948 NA
